012630,HDC,30,45
012690,모나리자,40,45
012750,에스원,20,45
012800,대창,30,45
013000,세우글로벌,40,50
013360,일성건설,40,60
013520,화승알앤에이,40,50
013570,디와이,30,45
013580,계룡건설,40,60
013700,까뮤이앤씨,40,50
013870,지엠비코리아,40,45
013890,지누스,30,45
014130,한익스프레스,40,45
014160,대영포장,30,45
014280,금강공업,40,50
014285,금강공업우,100,100
014440,영보화학,40,50
014530,극동유화,30,45
014580,태경비케이,40,45
014680,한솔케미칼,30,45
014710,사조씨푸드,40,45
014790,한라,40,50
014820,동원시스템즈,30,45
014825,동원시스템즈우,100,100
014830,유니드,30,45
014910,성문전자,100,100
014915,성문전자우,100,100
014990,인디에프,40,60
015020,이스타코,100,100
015230,대창단조,40,50
015260,에이엔피,100,100
015350,부산가스,40,50
015360,예스코홀딩스,40,50
015540,쎌마테라퓨틱스,100,100
015590,큐로,50,100
015760,한국전력,20,45
015860,일진홀딩스,40,45
015890,태경산업,40,50
016090,대현,40,50
016360,삼성증권,20,45
016380,KG동부제철,100,100
016385,KG동부제철우,100,100
016450,한세예스24홀딩스,40,50
016580,환인제약,30,45
016590,신대양제지,30,45
016610,DB금융투자,40,50
016710,대성홀딩스,40,45
016740,두올,40,45
016800,퍼시스,40,50
016880,웅진,100,100
017040,광명전기,40,45
017180,명문제약,40,50
017370,우신시스템,40,50
017390,서울가스,40,50
017550,수산중공업,40,45
017670,SK텔레콤,20,45
017800,현대엘리베이,20,45
017810,풀무원,30,45
017900,광전자,40,50
017940,E1,30,45
017960,한국카본,30,45
018250,애경산업,30,45
018260,삼성에스디에스,20,45
018470,조일알미늄,100,100
018500,동원금속,100,100
018670,SK가스,30,45
018880,한온시스템,20,45
019170,신풍제약,100,100
019175,신풍제약우,100,100
019180,티에이치엔,100,100
019440,세아특수강,40,50
019490,하이트론,100,100
019680,대교,40,45
019685,대교우B,40,50
020000,한섬,30,45
020120,키다리스튜디오,50,100
020150,일진머티리얼즈,20,45
020560,아시아나항공,40,100
020760,일진디스플,40,50
021050,서원,50,60
021240,코웨이,20,45
021820,세원정공,100,100
023000,삼원강재,40,100
023150,MH에탄올,50,100
023350,한국종합기술,40,60
023450,동남합성,100,100
023530,롯데쇼핑,20,45
023590,다우기술,30,45
023800,인지컨트롤스,40,50
023810,인팩,40,50
023960,에쓰씨엔지니어링,100,100
024070,WISCOM,100,100
024090,디씨엠,40,50
024110,기업은행,20,45
024720,한국콜마홀딩스,30,45
024890,대원화성,40,50
024900,덕양산업,40,100
025000,KPX케미칼,40,50
025530,SJM홀딩스,100,100
025540,한국단자,30,45
025560,미래산업,100,100
025620,제이준코스메틱,100,100
025750,한솔홈데코,40,45
025820,이구산업,40,50
025860,남해화학,30,45
025890,한국주강,100,100
026890,디피씨,40,45
026940,부국철강,40,50
026960,동서,30,45
027410,BGF,30,45
027740,마니커,40,100
027970,세하,100,100
028050,삼성엔지니어링,40,50
028100,동아지질,30,45
028260,삼성물산,20,45
02826K,삼성물산우B,30,45
028670,팬오션,20,45
029460,케이씨,30,45
029530,신도리코,40,50
029780,삼성카드,20,45
030000,제일기획,20,45
030200,KT,20,45
030210,KTB투자증권,30,45
030610,교보증권,30,45
030720,동원수산,40,50
030790,비케이탑스,100,100
031430,신세계인터내셔날,20,45
031440,신세계푸드,30,45
031820,콤텍시스템,40,45
032350,롯데관광개발,40,50
032560,황금에스티,40,45
032640,LG유플러스,20,45
032830,삼성생명,20,45
033180,필룩스,40,45
033240,자화전자,40,45
033250,체시스,100,100
033270,유나이티드제약,40,45
033530,세종공업,40,50
033660,아주캐피탈,40,45
033780,KT&G,20,45
033920,무학,40,45
034020,두산중공업,100,100
034120,SBS,30,45
034220,LG디스플레이,20,45
034300,신세계건설,40,50
034310,NICE,40,45
034590,인천도시가스,40,60
034730,SK,20,45
03473K,SK우,40,45
034830,한국토지신탁,30,45
035000,지투알,40,50
035150,백산,30,45
035250,강원랜드,20,45
035420,NAVER,20,45
035510,신세계 I&C,30,45
035720,카카오,20,45
036420,제이콘텐트리,40,45
036460,한국가스공사,20,45
036530,S&T홀딩스,40,50
036570,엔씨소프트,20,45
036580,팜스코,40,45
037270,YG PLUS,100,100
037560,LG헬로비전,30,45
037710,광주신세계,40,50
039130,하나투어,40,50
039490,키움증권,20,45
039570,HDC아이콘트롤스,40,45
041650,상신브레이크,40,50
042660,대우조선해양,40,45
042670,두산인프라코어,40,45
042700,한미반도체,30,45
044380,주연테크,40,100
044450,KSS해운,40,50
044820,코스맥스비티아이,40,50
047040,대우건설,40,45
047050,포스코인터내셔널,20,45
047400,유니온머티리얼,40,100
047810,한국항공우주,20,45
049770,동원F&B,30,45
049800,우진플라임,100,100
051600,한전KPS,20,45
051630,진양화학,100,100
051900,LG생활건강,20,45
051905,LG생활건강우,20,45
051910,LG화학,20,45
051915,LG화학우,20,45
052690,한전기술,30,45
053210,스카이라이프,30,45
053690,한미글로벌,40,45
055490,테이팩스,40,45
055550,신한지주,20,45
057050,현대홈쇼핑,30,45
058430,포스코강판,40,50
058650,세아홀딩스,40,50
058730,다스코,40,45
058850,KTcs,40,45
058860,KTis,40,45
060980,한라홀딩스,30,45
063160,종근당바이오,30,45
064350,현대로템,30,45
064960,S&T모티브,30,45
066570,LG전자,20,45
066575,LG전자우,30,45
067830,세이브존I&C,40,50
068270,셀트리온,30,45
068290,삼성출판사,40,45
068400,SK렌터카,40,45
069260,휴켐스,30,45
